date,name,subject,preview_text,from_label,from_email,status,send_time
2024-07-03,pfj-2024-edm-1,,,,,Sent,2024-07-03T11:00:00+00:00
2024-07-18,pfj-2024-edm-2,,,,,Sent,2024-07-18T11:00:00+00:00
2024-07-25,pfj-2024-edm-3,,,,,Sent,2024-07-25T14:00:00+00:00
2024-07-30,pfj-2024-edm-4,,,,,Sent,2024-07-30T12:00:00+00:00
2024-07-31,pfj-2024-edm-5,,,,,Sent,2024-07-31T19:00:00+00:00
2024-08-12,fathers-day-edm-opt-out,,,,,Sent,2024-08-12T12:00:00+00:00
2024-08-19,fathers-day-edm-1,,,,,Sent,2024-08-19T04:00:00+00:00
2024-08-21,fathers-day-edm-2,,,,,Sent,2024-08-21T02:00:00+00:00
2024-08-27,fathers-day-edm-3,,,,,Sent,2024-08-27T00:00:00+00:00
2024-09-21,kickstarter-elements-edm-1,,,,,Sent,2024-09-21T03:30:00+00:00
2024-09-21,kickstarter-elements-edm-1,,,,,Cancelled,2024-09-21T14:00:00+00:00
2024-09-21,kickstarter-elements-edm-1,,,,,Cancelled,2024-09-21T14:00:00+00:00
2024-09-22,kickstarter-elements-edm-2,,,,,Sent,2024-09-22T18:00:00+00:00
2024-09-23,kickstarter-elements-edm-3,,,,,Sent,2024-09-23T14:00:00+00:00
2024-09-24,kickstarter-elements-edm-5-REG,,,,,Sent,2024-09-24T10:00:00+00:00
2024-09-24,kickstarter-elements-edm-5-META,,,,,Sent,2024-09-24T09:30:00+00:00
2024-09-24,kickstarter-elements-edm-5-EOI,,,,,Sent,2024-09-24T09:30:00+00:00
2024-09-24,kickstarter-elements-edm-4-META,,,,,Sent,2024-09-24T03:31:49+00:00
2024-09-24,kickstarter-elements-edm-4-REG,,,,,Sent,2024-09-24T03:30:00+00:00
2024-09-24,kickstarter-elements-edm-4-EOI,,,,,Sent,2024-09-24T03:30:00+00:00
2024-09-25,kickstarter-elements-edm-6-META,,,,,Sent,2024-09-25T09:00:00+00:00
2024-09-25,kickstarter-elements-edm-6-EOI,,,,,Sent,2024-09-25T09:00:00+00:00
2024-09-25,kickstarter-elements-edm-6-REG,,,,,Sent,2024-09-25T09:00:00+00:00
2024-09-26,kickstarter-elements-edm-7-META,,,,,Sent,2024-09-26T19:00:00+00:00
2024-09-26,kickstarter-elements-edm-7-EOI,,,,,Sent,2024-09-26T19:00:00+00:00
2024-09-26,kickstarter-elements-edm-7-REG,,,,,Sent,2024-09-26T19:00:00+00:00
2024-09-27,kickstarter-elements-edm-8-META,,,,,Sent,2024-09-27T14:00:00+00:00
2024-09-27,kickstarter-elements-edm-8-EOI,,,,,Sent,2024-09-27T14:00:00+00:00
2024-09-27,kickstarter-elements-edm-8-REG,,,,,Sent,2024-09-27T14:00:00+00:00
2024-09-28,kickstarter-elements-edm-9-META,,,,,Sent,2024-09-28T12:00:00+00:00
2024-09-28,kickstarter-elements-edm-9-EOI,,,,,Sent,2024-09-28T12:00:00+00:00
2024-09-28,kickstarter-elements-edm-9-REG,,,,,Sent,2024-09-28T12:00:00+00:00
2024-09-29,kickstarter-elements-edm-10-META,,,,,Sent,2024-09-29T18:00:00+00:00
2024-09-29,kickstarter-elements-edm-10-EOI,,,,,Sent,2024-09-29T18:00:00+00:00
2024-09-29,kickstarter-elements-edm-10-REG,,,,,Sent,2024-09-29T18:00:00+00:00
2024-09-30,kickstarter-elements-edm-11-META,,,,,Sent,2024-09-30T19:00:00+00:00
2024-09-30,kickstarter-elements-edm-11-EOI,,,,,Sent,2024-09-30T19:00:00+00:00
2024-09-30,kickstarter-elements-edm-11-REG,,,,,Sent,2024-09-30T19:00:00+00:00
2024-10-01,kickstarter-elements-edm-12-META,,,,,Sent,2024-10-01T18:00:00+00:00
2024-10-01,kickstarter-elements-edm-12-EOI,,,,,Sent,2024-10-01T18:00:00+00:00
2024-10-01,kickstarter-elements-edm-12-REG,,,,,Sent,2024-10-01T18:00:00+00:00
2024-10-01,kickstarter-elements-edm-1-investor,,,,,Sent,2024-10-01T01:43:31+00:00
2024-10-02,kickstater-elements-edm-13-EOI,,,,,Sent,2024-10-02T19:00:00+00:00
2024-10-02,kickstater-elements-edm-13-META,,,,,Sent,2024-10-02T09:00:00+00:00
2024-10-02,kickstater-elements-edm-13-REG,,,,,Sent,2024-10-02T09:00:00+00:00
2024-10-03,kickstarter-elements-edm-winback,,,,,Sent,2024-10-03T04:34:55+00:00
